Recency,Frequency,Monetary
36,5,597.18
13,5,373.1
112,6,407.59
31,4,190.06
52,4,123.09
5,5,754.39
60,7,937.67
77,7,718.88
21,4,660.65
28,2,323.13
44,6,901.0
6,6,622.36
21,6,354.84
16,4,325.25
5,2,1535.53
14,5,641.28
3,5,849.9
1,2,710.14
5,6,277.96
99,4,1563.13
24,1,970.77
102,2,549.02
17,3,1224.43
12,5,253.24
22,4,906.88
18,1,883.03
4,7,1101.48
31,3,1005.38
8,5,235.95
29,3,117.94
32,4,402.64
5,7,532.33
2,6,810.36
46,2,522.7
19,3,1457.18
2,4,1223.02
159,5,600.86
2,8,1710.12
36,5,1940.89
124,3,1362.31
9,4,1822.32
5,6,625.28
4,3,311.69
11,7,4078.44
4,4,765.87
36,3,588.67
2,8,748.65
22,5,313.74
172,3,948.81
51,8,907.95
29,6,1222.96
11,4,2477.15
30,3,574.58
23,5,221.05
17,3,509.16
5,4,889.75
66,4,1317.89
18,3,194.15
7,11,291.42
14,8,130.68
17,4,357.49
53,3,223.77
40,7,663.93
44,5,1641.73
1,5,1473.36
17,6,339.73
20,5,337.11
1,6,753.91
10,4,450.29
43,7,1703.65
5,6,1128.55
23,3,348.07
8,3,838.47
1,6,372.31
9,6,163.17
112,6,1053.85
49,9,664.85
97,10,3376.03
21,8,1142.4
4,6,1454.84
24,5,225.65
19,7,175.56
56,3,1859.17
4,3,753.81
21,7,248.97
5,8,727.0
12,6,239.02
41,2,934.79
20,7,1620.71
15,5,579.62
16,4,537.03
19,2,963.67
47,8,1445.88
67,3,149.53
94,8,2152.32
47,9,1303.24
12,7,1098.94
35,4,831.48
18,3,1149.93
9,6,375.22
56,7,746.15
2,1,433.64
70,5,596.02
19,6,717.41
31,6,936.12
33,5,484.97
68,5,277.25
31,3,1182.24
29,2,384.42
3,4,1584.24
22,7,341.15
5,3,569.4
41,3,1173.83
22,2,292.84
35,4,510.11
2,6,935.18
3,7,923.12
38,6,1326.28
3,5,1156.0
3,11,847.16
1,1,739.56
95,6,1624.19
41,8,1316.31
14,3,1985.73
11,5,1608.72
13,4,150.44
45,8,979.63
33,6,327.5
7,4,275.38
6,3,256.29
4,5,957.42
33,7,364.58
44,3,651.32
10,5,788.55
1,8,1471.64
3,3,215.22
104,6,1672.18
11,9,269.04
44,2,256.59
30,5,812.98
15,7,540.01
7,5,236.31
4,5,161.97
29,3,899.38
45,5,2594.61
31,6,771.5
23,4,463.87
2,7,716.26
104,3,189.64
49,5,1451.19
11,7,715.93
118,4,355.27
28,6,468.76
27,6,824.72
42,2,702.18
51,6,1030.76
33,7,599.61
5,3,369.49
13,4,469.44
79,1,1243.69
8,3,1286.53
14,6,912.06
17,4,278.72
18,4,1027.84
29,6,1022.27
86,6,1029.03
9,9,417.41
4,4,520.83
7,5,995.23
66,6,369.06
32,6,370.13
11,7,1161.15
51,3,923.34
60,1,754.36
57,4,511.59
76,5,1245.67
9,5,867.21
43,5,503.46
19,5,1575.22
56,6,1463.29
40,7,594.34
45,6,373.37
33,8,1667.32
6,4,618.95
24,7,721.88
126,2,1643.87
84,1,701.12
2,4,1248.78
6,4,149.17
5,10,421.12
39,5,337.11
52,4,1202.78
8,4,1303.23
22,9,395.95
56,3,1212.36
40,3,966.15
24,6,716.72
27,2,459.03
22,2,163.72
11,7,2850.62
25,5,107.51
36,6,327.93
62,5,532.55
31,8,2360.01
43,5,518.6
6,7,367.73
19,7,791.51
1,7,756.76
9,4,642.81
39,7,502.08
145,4,1588.92
4,3,929.72
16,7,603.45
49,6,436.8
7,4,126.61
25,4,469.96
40,5,845.33
29,4,621.83
7,2,198.66
14,3,1124.67
46,7,548.83
25,5,868.41
1,2,1365.29
43,3,239.01
2,4,517.07
42,4,731.31
7,5,347.85
96,6,1431.32
14,7,339.44
12,9,134.15
5,5,975.58
11,6,1565.55
63,7,2723.01
169,3,775.98
14,8,652.38
18,6,540.8
39,4,687.0
66,11,564.18
27,3,312.05
15,8,258.45
16,4,1868.34
36,3,475.02
1,3,658.16
29,5,2152.12
14,8,476.38
48,2,339.14
3,4,1123.61
27,6,1356.8
20,6,201.83
31,4,2084.92
3,3,529.73
27,3,573.7
25,7,402.04
25,4,296.69
28,4,1080.42
34,4,405.47
50,4,879.7
10,4,470.09
53,5,140.81
21,2,582.24
3,8,924.71
2,7,114.49
13,8,1207.05
47,5,462.79
37,7,206.77
47,7,236.94
22,5,460.16
18,6,822.85
5,5,1459.29
12,7,888.21
18,3,581.02
3,7,170.06
8,8,1220.08
28,6,1145.59
40,3,753.54
193,6,1550.71
82,5,265.53
31,7,1740.86
17,4,1066.02
31,7,1388.91
47,4,466.6
4,6,986.84
16,6,189.45
55,4,1668.0
15,8,1982.1
26,6,486.61
27,1,1369.11
7,3,821.51
14,7,683.75
13,5,633.2
1,6,592.27
1,2,1090.02
54,3,782.53
10,4,198.3
22,8,285.76
11,6,1573.37
85,7,412.55
10,8,1286.17
17,2,466.32
62,7,121.12
56,3,149.84
7,3,325.88
49,4,313.54
19,8,587.65
20,5,258.92
5,4,2586.61
3,5,1033.6
40,3,361.89
21,2,703.61
18,6,1151.71
40,6,1910.41
44,6,652.96
6,5,767.3
29,2,612.55
5,4,1965.45
42,5,854.37
33,3,764.92
95,9,864.89
3,6,386.5
2,8,735.08
10,4,716.66
10,1,1432.67
9,5,660.2
72,4,422.88
9,5,545.36
10,6,506.34
43,3,281.42
18,7,994.45
45,4,1685.72
3,9,865.51
21,5,1794.8
2,8,2446.39
2,7,83.14
72,5,246.09
5,5,200.04
23,5,1855.29
16,8,427.39
13,7,207.38
70,6,236.59
1,4,573.36
33,2,914.73
100,3,566.0
25,2,844.81
83,6,335.56
2,4,610.34
17,4,844.88
10,8,1888.93
40,5,618.11
120,4,892.58
9,5,541.85
32,6,219.78
7,11,902.69
25,10,815.65
19,4,1593.05
108,4,942.88
29,5,1822.69
13,8,1217.8
4,5,766.9
5,7,962.92
8,5,469.98
9,6,1341.32
58,6,1195.27
25,7,522.3
23,3,1034.45
4,6,981.91
60,5,616.59
39,6,1271.88
3,5,661.58
37,9,389.8
24,5,875.79
3,5,2879.48
19,4,3506.89
20,5,303.19
6,7,174.03
88,8,1032.28
57,4,1281.57
34,9,2101.73
19,3,741.43
16,8,876.7
32,5,322.53
24,7,600.44
2,2,544.42
22,6,1420.8
50,5,588.43
19,7,428.36
2,5,911.14
47,4,704.69
7,8,802.04
9,4,225.53
6,7,469.65
13,6,654.89
43,2,1080.63
22,6,1447.86
7,3,811.43
64,6,526.46
64,5,649.84
62,10,408.12
9,7,590.54
19,8,707.75
126,3,788.65
45,6,602.94
1,6,422.64
3,3,735.47
19,3,1103.93
72,4,324.54
24,5,1332.38
21,4,1567.47
4,2,1382.76
33,4,3746.83
52,5,346.38
15,8,212.82
45,6,348.09
101,1,302.38
7,4,620.55
23,10,654.1
11,3,1453.37
48,5,643.47
26,7,307.99
31,6,1115.76
48,4,837.56
16,2,718.79
74,2,646.26
23,3,1482.15
6,6,848.76
36,7,2553.39
48,3,972.65
12,4,336.13
59,3,830.59
71,3,660.04
10,6,437.33
124,3,317.36
5,4,744.74
7,7,988.18
7,6,1417.6
68,7,695.55
32,2,367.86
5,2,2850.12
18,8,712.52
29,9,618.32
3,2,250.44
65,5,1036.69
49,6,1337.31
22,4,69.74
103,4,2121.31
17,3,1583.88
125,4,568.2
34,5,260.11
31,7,298.09
6,2,444.41
65,4,441.16
17,4,1291.89
6,6,885.17
1,9,479.69
25,4,1069.19
23,5,1666.4
39,4,812.63
67,5,2003.68
3,6,1583.73
40,3,793.03
7,3,767.85
59,3,357.8
52,7,124.36
24,6,257.68
38,5,713.71
12,4,100.49
20,8,335.95
52,4,558.24
19,4,875.24
14,5,1346.27
21,6,403.82
53,8,1072.09
13,5,363.23
6,3,2179.13
38,9,1096.82
53,6,962.3
4,3,392.03
9,9,339.28
5,5,440.13
13,4,957.87
18,5,3112.53
42,6,635.84
32,4,597.4
30,7,1319.5
14,5,560.8
56,2,499.05
20,4,1866.41
117,6,267.57
31,6,560.61
5,8,209.0
34,3,976.78
12,2,751.15
35,5,1608.31
3,5,489.92
6,7,614.4
59,5,564.14
8,3,1991.08
55,6,840.93
10,6,909.98
31,3,593.31
36,8,523.65
22,2,595.79
11,4,1617.14
8,5,794.74
2,3,1677.82
11,4,893.01
32,6,479.78
84,8,576.33
62,5,1105.74
44,2,990.18
47,7,729.96
33,5,2330.37
10,3,504.61
72,4,295.49
34,3,393.77
25,5,662.88
4,4,979.25
18,4,733.84
19,8,254.67
60,7,665.59
24,3,1172.88
15,5,1373.44
113,3,231.2
4,6,448.69
17,2,465.88
2,4,2083.49
41,5,1770.77
76,3,676.71
10,1,603.28
59,6,2827.6
11,12,1427.0
73,4,361.89
43,5,1820.25
50,5,517.39
1,1,281.74
99,3,552.03
39,9,725.43
11,4,763.25
54,2,1843.57
10,6,1273.79
62,5,500.51
4,6,436.67
37,4,511.52
24,5,1620.61
4,6,574.62
9,6,1133.35
1,5,236.01
19,4,1405.62
11,3,1002.29
28,7,1267.62
11,7,374.17
11,10,1065.46
41,3,275.0
2,5,806.93
70,4,652.74
58,7,200.29
34,9,1029.86
27,2,216.65
67,6,201.12
7,3,222.96
3,4,1351.73
9,2,970.22
48,4,236.52
2,9,809.04
27,6,748.55
162,5,1248.06
59,10,646.92
23,4,1397.16
2,3,667.76
54,8,417.37
28,2,374.01
4,3,177.24
3,1,308.41
73,3,313.56
34,7,447.75
54,3,1050.97
64,6,1192.6
26,8,2880.79
22,6,421.0
17,5,289.91
12,3,164.54
18,5,664.63
45,5,897.84
28,6,760.44
67,5,527.12
18,3,2952.76
29,8,1306.03
30,6,277.86
27,7,943.5
37,2,1600.88
9,3,666.0
22,6,1115.32
4,6,1501.31
15,7,781.53
21,5,862.8
32,4,236.24
91,3,289.82
28,5,1320.74
41,6,221.34
22,2,440.13
31,10,582.94
3,6,1063.95
9,9,330.79
14,7,1906.34
20,4,1602.12
2,7,2690.72
5,6,88.21
10,7,1188.17
107,11,1573.9
13,2,485.97
20,7,676.77
7,4,793.31
29,5,449.48
10,8,696.99
7,7,843.62
22,4,3768.89
1,6,513.71
1,6,928.98
8,8,994.64
2,4,700.87
4,6,292.04
13,6,954.03
49,7,427.28
26,7,409.29
22,3,1388.74
11,4,582.33
81,6,966.18
16,9,1020.57
3,5,1623.65
29,5,291.33
4,4,1219.79
13,5,1345.35
22,5,528.43
63,8,1789.12
21,8,243.42
37,5,1121.03
149,4,799.53
5,3,573.15
10,4,826.31
16,6,217.6
17,7,425.55
16,3,1782.68
72,3,290.41
38,4,650.15
29,2,309.43
12,4,461.21
53,5,781.27
94,5,1886.63
52,6,1476.95
1,7,281.22
31,5,2028.27
2,7,1596.62
9,7,211.36
2,3,1496.21
28,4,1505.6
35,6,149.04
4,2,307.25
15,6,1514.16
19,10,269.45
14,10,1304.52
4,4,1806.38
17,3,530.27
42,6,1045.1
3,5,831.21
3,6,1732.31
14,6,812.86
86,7,919.76
34,2,2165.64
35,9,1467.38
14,7,135.96
28,2,977.32
1,4,529.23
31,7,1593.69
74,10,744.14
29,4,693.56
63,5,500.4
39,6,546.74
4,5,865.45
70,2,445.55
3,1,487.1
23,5,158.28
5,2,319.56
1,4,1179.72
17,4,1214.07
11,4,100.78
20,6,370.19
26,5,1111.28
2,4,173.11
4,4,426.78
25,4,1271.83
13,2,193.47
40,8,927.93
32,7,314.16
57,6,856.92
36,10,937.0
17,10,1150.51
34,4,197.45
10,4,738.81
11,11,1163.06
47,7,1342.12
18,7,228.34
49,7,491.15
52,6,997.66
59,4,1904.62
75,8,774.31
17,6,324.39
12,9,322.58
27,6,336.06
14,2,458.72
28,9,736.98
37,2,1335.34
35,3,2458.43
15,6,851.4
6,6,1453.14
17,6,501.2
5,7,1078.11
67,13,1441.99
13,5,586.75
6,4,227.19
1,5,1145.99
32,2,706.66
31,5,1133.91
13,8,602.96
3,3,715.26
16,3,1129.96
12,2,1983.99
34,5,315.07
28,5,390.61
14,3,807.53
8,8,1363.96
133,6,837.66
19,5,858.38
35,6,478.71
5,5,487.46
20,8,1721.55
1,6,1125.48
22,6,163.87
100,6,247.82
15,3,602.72
2,4,1126.3
1,6,77.26
15,4,874.87
6,4,423.35
1,3,1390.88
43,6,411.71
19,5,536.15
11,9,1963.12
70,8,648.67
4,1,1368.03
94,6,908.0
12,8,1020.72
66,3,1278.37
28,9,400.43
53,4,1168.12
125,3,1346.36
11,8,975.49
98,4,1417.86
15,5,253.09
15,7,198.45
13,8,1255.51
24,4,435.41
6,3,208.89
25,8,192.19
24,4,2051.64
44,6,1225.98
54,4,905.83
18,3,2018.84
11,6,838.62
10,6,191.51
7,11,534.99
2,6,187.15
13,5,1250.16
10,6,523.41
102,5,3265.43
25,6,566.35
13,7,369.68
27,4,1213.55
5,5,289.75
18,7,229.97
30,5,918.6
21,5,807.54
16,6,327.36
153,4,305.47
64,6,1002.72
30,4,1720.7
26,4,776.93
30,11,821.61
7,4,819.39
16,5,1020.84
2,3,414.55
20,6,989.76
24,4,1906.9
8,7,834.72
100,5,1410.81
73,4,2274.98
39,4,1440.21
23,3,1703.27
62,3,1614.29
5,3,1546.28
47,7,407.95
4,7,1631.4
48,6,778.07
10,5,1226.99
63,5,889.02
87,3,2185.06
5,5,1316.97
19,10,1382.94
119,4,1477.72
20,5,860.37
60,4,1488.71
27,6,369.38
15,7,924.75
11,3,1237.09
7,7,754.01
44,5,3032.73
15,1,507.94
22,3,223.49
21,5,2130.56
26,5,971.11
61,6,352.51
119,8,599.29
16,7,177.04
53,8,387.29
44,6,882.01
26,7,1417.13
94,4,558.03
7,4,442.13
4,4,482.27
58,4,535.67
18,4,971.79
57,7,2184.12
68,5,173.17
2,6,444.2
65,1,179.3
18,4,390.26
22,5,726.96
30,2,245.56
79,5,1221.31
1,7,338.03
20,8,1164.75
35,5,488.49
39,3,641.97
36,4,1060.52
5,4,2662.49
11,5,490.23
14,4,177.86
49,2,2295.84
10,7,1187.05
8,6,428.76
95,8,773.49
1,3,850.45
184,7,512.09
34,3,276.4
53,3,615.84
11,6,257.28
1,5,2620.73
41,6,1684.34
54,10,1696.51
41,6,161.34
5,4,530.98
43,4,263.02
44,2,880.23
33,1,113.63
44,4,1719.04
57,6,607.74
29,2,622.41
3,3,680.13
21,4,309.11
3,5,1128.25
16,5,580.94
16,6,912.47
3,6,63.49
13,5,1293.46
4,6,241.78
50,6,234.77
89,6,711.81
3,5,810.25
94,3,1700.37
23,5,833.37
11,4,1167.48
3,11,981.65
21,3,1369.07
48,9,2714.14
37,2,545.36
2,2,428.91
3,6,579.87
16,6,1946.94
11,3,413.93
8,6,698.28
10,9,329.12
49,9,514.93
80,6,372.2
16,4,585.56
71,6,907.53
12,4,916.41
20,6,427.53
8,5,175.42
31,3,1812.76
116,11,1338.5
28,4,2753.46
14,4,541.14
32,7,81.95
4,6,1819.99
66,8,628.45
21,5,342.36
18,6,750.59
27,4,490.05
30,3,739.77
3,3,490.32
35,5,243.65
9,6,1086.24
38,6,638.82
52,7,1527.57
49,8,171.6
25,7,1031.84
23,3,816.66
5,2,1698.52
45,6,707.07
10,7,880.66
21,5,213.36
11,7,76.98
5,8,1332.81
30,3,1428.83
2,6,182.86
42,3,297.73
12,7,990.18
1,8,1825.49
22,5,538.18
2,6,768.37
10,5,768.22
37,5,704.39
2,3,359.33
55,5,829.1
1,9,699.58
9,3,438.42
41,2,2331.63
12,8,219.78
4,3,2194.41
14,3,980.23
10,4,1265.88
56,6,306.02
12,5,2348.88
47,6,601.62
67,7,1471.62
18,4,781.98
73,5,232.76
15,5,196.57
100,5,1789.28
3,4,121.0
35,6,665.52
21,7,1199.21
15,7,1137.93
31,3,463.73
37,7,565.68
1,6,1927.42
6,5,555.65
38,7,652.8
33,1,362.44
102,6,984.49
43,3,2433.31
91,7,612.84
37,8,213.88
11,5,284.43
4,5,852.06
46,8,419.0
31,3,1366.19
2,7,606.9
14,3,1216.84
95,6,833.27
21,5,260.67
18,4,456.1
19,2,653.74
8,3,2456.12
14,4,1659.17
14,4,254.89
2,3,603.29
44,9,854.59
17,6,380.59
52,5,456.21
57,3,236.09
8,7,902.52
33,5,328.94
20,5,175.63
64,4,578.09
8,4,935.1
34,6,698.67
29,5,736.71
11,4,468.85
5,3,480.27
32,5,2135.4
41,4,1582.29
12,6,768.09
32,5,332.69
16,3,1339.69
38,2,1881.83
7,7,1267.48
67,4,607.37
11,3,836.37
14,3,444.19
2,5,868.55
4,6,785.46
22,6,1218.67
10,4,473.38
55,4,2403.53
1,3,226.67
15,4,926.21
13,5,1377.56
1,7,365.73
4,4,992.97
17,6,1147.86
21,6,908.43
16,5,1832.79
23,5,1269.4
28,3,261.41
1,5,842.72
19,4,578.86
100,7,1312.33
22,4,1032.44
34,2,744.7
12,4,376.08
45,4,490.86
45,6,315.7
23,7,946.88
112,9,429.45
5,4,649.71
1,3,1636.14
45,7,1379.53
50,5,1509.42
4,8,291.08
10,4,210.34
1,7,3748.78
11,8,713.82
45,4,549.35
22,3,439.65
13,5,443.46
14,6,1288.62
1,7,482.14
11,7,359.63
32,5,952.3
110,7,406.78
57,3,563.52
1,5,79.12
69,3,1438.02
46,4,1096.57
46,5,934.4
19,5,1222.87
16,9,583.78
11,3,928.24
3,7,1216.49
8,4,478.6
9,4,1539.72
20,6,1648.57
42,4,522.88
20,7,2716.91
2,7,794.46
95,5,1151.35
86,3,946.4
47,6,1643.99
143,6,1035.69
24,3,1027.46
99,4,1223.13
3,6,513.73
14,8,1387.91
8,8,1062.02
7,1,939.04
5,3,120.86
30,4,688.84
46,9,590.68
26,8,313.28
5,7,954.42
50,6,1331.05
31,3,466.93
15,3,293.24
34,3,441.22
10,2,2921.83
13,4,890.37
75,4,489.28
11,4,1349.03
20,3,882.24
67,7,1193.22
37,5,498.34
2,8,454.25
5,5,452.7
1,8,358.29
30,2,889.09
18,6,1791.99
5,6,937.68
96,5,1508.05
23,5,428.57
9,11,1069.59
21,2,796.04
35,6,1075.29
3,4,434.6
10,5,581.5
50,6,359.79
19,1,1803.63
24,5,1998.5
18,6,691.76
2,5,409.04
6,4,972.66
18,6,477.52
8,3,1762.8
2,3,855.8
56,5,1555.98
120,7,667.35
48,5,139.98
58,8,547.62
9,8,280.69
98,2,715.57
7,3,305.3
91,5,554.96
158,4,1573.27
38,4,226.95
120,4,913.02
26,4,683.32
10,6,319.7
18,3,1726.46
28,4,1481.98
3,4,408.27
30,6,523.61
120,6,485.11
7,5,1089.81
48,8,1107.35
72,6,1015.82
87,4,426.03
97,6,1024.14
23,11,1630.25
114,3,1425.53
43,2,1441.15
6,4,576.05
20,6,883.43
39,6,1642.44
9,4,1854.69
31,6,1703.6
33,5,213.89
6,7,868.88
25,4,1158.62
45,3,4000.1
21,6,298.85
1,5,486.73
1,3,873.17
14,9,264.74
79,5,433.61
8,3,699.13
31,13,490.22
8,6,2015.72
12,7,405.7
57,4,1542.73
40,5,277.45
4,4,241.54
17,7,1227.15
1,7,675.04
20,3,56.77
33,1,644.62
4,7,1610.65
11,5,923.13
16,5,1589.74
76,7,1196.86
150,2,619.25
2,5,1245.34
43,3,1433.99
14,4,300.32
15,1,1035.54
43,7,773.53
76,4,838.34
91,4,886.15
26,6,1363.53
14,3,868.18
47,2,968.35
9,9,303.7
25,3,941.81
14,5,588.12
33,5,1768.87
9,4,838.73
7,3,1334.99
76,4,597.26
4,4,1557.86
22,5,1690.19
8,6,703.45
2,6,700.69
2,4,914.11
6,4,1531.63
61,4,942.3
10,6,1930.72
91,8,461.66
27,2,975.29
18,6,944.55
27,4,276.45
22,3,561.28
43,4,1602.04
10,2,126.68
14,6,302.47
68,4,581.09
88,4,380.86
67,8,1641.73
17,7,3285.67
46,2,373.32
20,3,1622.83
21,7,396.9
7,4,149.85
27,4,695.07
7,7,1687.19
13,5,1479.74
58,10,1063.13
7,8,292.36
3,7,1404.94
3,3,3059.18
85,6,1321.28
22,5,293.78
16,2,490.41
50,4,600.48
55,9,550.46
13,6,386.67
36,5,964.1
45,4,1373.5
32,4,603.4
5,3,250.39
63,10,1386.04
24,6,91.58
10,3,538.52
17,2,782.22
2,11,770.92
5,8,514.62
44,4,589.69
1,2,379.01
17,7,221.21
23,1,668.68
2,6,607.82
109,3,1381.62
8,4,326.84
11,10,1006.23
11,4,766.73
8,6,399.77
1,6,781.8
40,4,701.16
103,6,732.27
8,5,680.25
33,5,654.4
41,3,641.24
57,4,866.35
17,7,429.78
11,5,659.2
12,1,1242.86
38,5,537.03
51,2,1219.4
7,6,494.75
14,6,1911.09
70,7,362.06
50,5,1042.37
126,3,227.29
43,3,1034.22
15,5,478.84
27,2,1143.18
33,2,1140.61
3,8,1039.28
24,7,808.8
38,4,530.72
6,6,936.94
46,3,1745.07
27,6,330.85
92,9,390.43
2,6,389.17
10,3,210.38
28,6,1091.58
11,6,408.25
38,8,1218.52
43,6,487.36
4,3,505.56
22,5,1437.93
22,7,368.21
14,3,322.62
82,3,2449.15
53,2,591.26
36,5,504.15
38,5,741.3
19,6,263.42
77,1,245.6
36,7,1393.95
40,6,318.0
60,5,871.72
10,7,987.3
50,5,488.5
7,1,84.65
13,3,706.04
13,6,422.32
116,5,2139.85
59,4,411.38
37,8,982.72
39,3,245.72
25,6,931.95
89,6,718.53
21,4,1447.36
15,2,673.62
6,4,256.89
47,4,392.69
40,9,2264.23
15,3,522.82
1,5,71.83
55,6,581.1
1,5,492.73
37,4,308.33
106,6,526.51
18,2,1260.54
9,3,622.2
37,5,260.94
51,5,396.77
24,6,1075.51
103,5,859.5
2,2,730.83
22,9,1057.31
39,4,402.03
60,3,1551.12
6,6,1982.82
49,3,654.88
25,7,1848.97
16,6,1051.46
5,2,471.32
61,7,181.92
6,5,781.11
12,7,386.05
11,4,1087.65
62,6,449.89
34,2,506.22
48,6,1166.74
9,5,542.67
30,5,156.11
26,3,835.97
54,5,1988.57
71,6,430.17
1,6,570.12
34,4,931.42
2,3,746.75
24,6,1448.8
11,5,1671.03
11,3,916.46
14,6,651.42
30,5,540.32
13,3,648.26
40,4,1602.5
16,7,339.27
3,5,1550.02
46,5,549.87
11,5,1851.89
18,4,276.82
35,4,1579.4
13,5,700.6
2,3,2121.51
15,5,327.6
87,6,1418.59
31,6,941.19
34,6,1041.44
31,8,697.2
7,5,739.86
17,3,541.13
42,5,109.42
4,5,717.7
10,4,1171.55
10,6,1766.39
17,4,553.39
118,6,153.67
3,7,120.32
22,1,661.85
6,4,519.06
106,6,158.11
4,7,1797.79
16,5,853.22
41,5,400.23
37,6,376.87
17,4,1113.39
13,3,2083.31
16,2,1450.56
10,6,1431.45
7,4,646.68
20,9,96.36
10,3,452.31
11,6,1933.14
33,5,480.73
104,5,335.31
28,8,401.87
3,5,651.85
3,8,583.94
91,4,230.28
11,7,985.54
3,9,744.39
28,7,553.43
30,5,799.53
32,6,1630.34
10,4,614.56
1,2,1066.95
101,2,468.51
9,4,355.25
34,7,906.2
37,3,164.78
29,2,421.92
12,3,593.8
10,6,504.11
28,4,1445.07
61,4,529.83
88,6,1665.9
4,3,680.62
6,4,206.02
87,2,614.56
41,9,317.72
65,7,93.89
7,5,1012.53
27,4,122.62
37,3,113.53
35,2,2589.35
16,6,1367.67
1,7,394.7
27,6,430.76
9,1,824.93
18,8,458.4
95,2,295.48
16,4,256.79
55,4,641.77
7,2,218.3
34,4,1825.71
114,4,821.11
4,5,1910.06
1,6,1370.26
18,3,905.99
3,5,150.56
42,4,296.41
74,7,1068.23
18,5,797.96
9,2,769.57
18,6,675.29
39,6,180.88
1,6,866.28
27,8,628.47
29,6,521.83
31,6,1309.33
9,4,619.13
38,5,666.49
3,7,2776.44
7,6,456.03
63,5,704.74
41,4,1076.39
1,3,905.1
9,5,470.48
8,2,411.93
10,7,500.34
9,8,500.37
2,4,1253.85
19,2,1134.53
40,4,344.45
28,7,1048.73
34,6,385.48
3,8,1040.28
91,4,2136.69
55,3,533.63
50,2,513.26
52,5,1857.28
81,8,469.17
24,5,1041.34
7,5,893.18
29,4,957.18
41,5,465.74
41,7,517.73
23,5,924.25
3,6,461.09
14,2,986.32
77,6,866.4
27,5,724.59
24,4,855.67
10,3,592.89
14,5,585.96
68,5,334.97
33,4,576.63
47,7,217.12
19,7,1879.36
30,8,530.57
9,3,403.69
37,2,360.92
17,6,518.55
18,6,1887.28
32,4,1593.06
83,3,190.17
2,6,1035.14
53,7,481.93
11,5,2878.65
18,4,1449.02
1,4,322.42
11,5,370.26
21,8,1874.55
2,8,1145.38
21,5,994.33
79,5,254.93
4,5,345.54
44,8,447.06
16,5,1089.46
32,4,458.66
10,6,220.42
6,3,1090.77
6,5,475.18
3,2,220.63
7,5,1298.94
33,6,730.76
65,8,355.82
51,3,903.96
35,3,329.75
4,3,432.88
11,6,399.18
12,6,709.97
9,7,1082.15
22,5,604.92
24,4,1157.67
14,5,326.85
14,3,1011.6
53,5,1341.5
47,7,1281.17
12,5,280.94
74,4,3010.29
92,4,536.59
12,4,662.69
14,5,150.29
22,1,1341.01
85,4,871.32
63,4,1201.78
4,7,1352.88
15,7,366.68
25,5,1354.07
21,6,1007.15
7,7,1453.24
59,1,1454.27
34,5,181.52
55,4,880.45
59,3,899.66
42,9,504.73
18,3,893.62
29,2,342.17
6,2,798.72
34,3,230.25
6,3,1221.23
36,5,524.76
8,7,991.84
4,7,1049.99
6,9,1243.46
1,9,809.37
39,7,1083.25
40,4,535.95
22,7,2502.56
6,6,388.07
3,5,524.35
1,7,2414.85
6,6,764.35
67,4,1422.44
9,5,848.83
14,4,656.67
4,3,593.29
8,9,1912.77
22,5,611.0
29,3,1057.57
9,3,1192.43
2,4,1627.06
15,3,1519.03
9,6,860.01
8,5,121.09
97,6,280.72
29,5,541.16
25,3,938.03
17,5,229.2
17,6,524.6
24,1,1051.69
36,6,616.08
37,5,1123.79
6,6,630.24
21,3,2152.13
16,6,770.26
62,5,224.03
30,2,381.08
23,5,632.24
4,5,845.69
28,11,469.13
4,6,218.86
13,4,1552.13
5,4,947.25
36,3,1275.29
7,7,581.98
15,4,400.85
68,3,385.97
7,2,801.88
22,5,635.98
17,7,696.69
1,6,218.32
48,6,700.57
3,6,919.83
20,2,2730.03
25,5,677.04
30,4,806.88
36,7,186.95
9,3,80.93
1,5,970.57
39,6,966.98
24,8,182.29
55,4,2306.57
52,7,871.53
56,4,1853.04
20,5,794.08
13,6,128.48
48,5,877.3
19,4,389.85
7,4,492.6
58,6,400.37
65,8,240.4
19,4,1043.93
3,7,1231.44
15,4,631.09
49,8,589.77
70,4,824.16
7,6,2041.06
3,14,573.65
63,4,770.2
15,9,279.59
24,6,184.85
104,4,425.57
3,8,2102.34
32,5,219.42
3,6,607.52
15,8,550.51
49,7,656.37
18,5,1466.95
177,4,2126.52
25,7,809.91
12,5,766.25
8,3,317.16
13,3,124.83
14,6,1291.2
3,2,839.14
14,6,376.08
19,5,1936.78
39,2,430.13
33,5,1838.36
38,2,970.58
1,3,478.16
8,5,247.56
33,4,733.03
20,6,150.08
1,3,817.72
49,4,1188.89
45,4,200.83
24,5,680.3
3,3,492.71
44,4,1769.54
27,3,414.35
46,5,756.4
42,3,89.61
49,5,207.88
22,10,902.85
5,10,1229.73
34,2,492.1
30,2,226.45
41,2,776.19
6,6,463.1
7,7,1657.56
67,6,730.72
42,3,1283.01
72,6,1429.1
43,5,328.68
28,6,404.11
32,3,205.3
66,3,165.33
26,2,801.74
31,8,1027.65
6,4,1836.71
20,2,1025.35
38,7,425.01
10,5,784.46
7,7,1097.43
12,2,546.55
9,6,292.8
8,5,171.84
17,3,234.92
72,4,546.69
22,6,738.49
7,4,318.3
3,5,676.84
36,4,222.1
15,11,1434.14
52,3,423.24
33,3,522.92
48,7,1558.22
10,4,381.34
